DATE,OPEN,HIGH,LOW,CLOSE
11/11/2022,1754.1,1772.45,1746.7,1771.2
10/11/2022,1705.7,1757.06,1703.5,1754.2
09/11/2022,1712.1,1722.26,1701.6,1705.9
08/11/2022,1675.2,1716.77,1664.74,1712.1
07/11/2022,1681.11,1681.6,1666.6,1674.3
04/11/2022,1629.35,1681.91,1628,1680.2
03/11/2022,1635.61,1640.81,1616.6,1629.5
02/11/2022,1646.92,1669.06,1633.4,1635.76
01/11/2022,1633.53,1656.86,1630.4,1646.6
31/10/2022,1644.99,1645.62,1631.4,1633.58
28/10/2022,1662.3,1666.99,1638.28,1644.3
27/10/2022,1664.35,1670.69,1654.91,1662.1
26/10/2022,1652.97,1674.8,1649.5,1664.36
25/10/2022,1648.7,1662.16,1638,1652.99
24/10/2022,1657.66,1669.77,1644.02,1648.46
21/10/2022,1627.65,1657.82,1617.27,1656.6
20/10/2022,1628.1,1645.47,1622.2,1627.68
19/10/2022,1651.3,1654.38,1627.3,1628.1
18/10/2022,1649.4,1660.78,1645.86,1651.3
17/10/2022,1643.4,1668.3,1643.08,1649.4
14/10/2022,1665.3,1671.6,1640,1643.78
13/10/2022,1673.02,1682.21,1642.48,1665.3
12/10/2022,1665.85,1678.12,1661,1673.02
11/10/2022,1667.5,1683.83,1660.1,1665.85
10/10/2022,1694.69,1699.89,1665.7,1667.5
07/10/2022,1710.1,1714.77,1690.78,1693.7
06/10/2022,1715,1725.32,1706.94,1710.1
05/10/2022,1725.4,1727.71,1700.3,1715
04/10/2022,1699.4,1729.14,1694.6,1725.5
03/10/2022,1660.73,1701.37,1659.3,1699.4
30/09/2022,1660.1,1675.2,1659,1660.73
29/09/2022,1658.7,1664.75,1641.46,1659.8
28/09/2022,1628,1662.61,1614.78,1658.7
27/09/2022,1622.16,1642.33,1621.89,1628
26/09/2022,1643.29,1649.47,1620.8,1622.14
23/09/2022,1670.3,1675.83,1639.81,1643
22/09/2022,1673,1684.84,1655.68,1670.3
21/09/2022,1662.6,1687.73,1654.26,1672.9
20/09/2022,1675.6,1679.24,1659.94,1662.6
19/09/2022,1675.24,1679.9,1659.5,1675.6
16/09/2022,1663.2,1679.99,1654,1674.02
15/09/2022,1695,1698.16,1660.32,1663.2
14/09/2022,1700.8,1706.86,1692.9,1695
13/09/2022,1723.7,1731.68,1697,1700.9
12/09/2022,1717.49,1735.1,1711.7,1724.1
09/09/2022,1706.6,1729.29,1706.5,1716.05
08/09/2022,1717.3,1728,1704.02,1706.5
07/09/2022,1700.5,1719.37,1691.1,1717.3
06/09/2022,1709.7,1726.78,1699.3,1700.7
05/09/2022,1712.25,1715.71,1707,1709.5
02/09/2022,1695.5,1717.82,1694.3,1711.4
01/09/2022,1710,1711.34,1688.8,1695.3
31/08/2022,1722.8,1726.44,1709.3,1709.9
30/08/2022,1737.3,1740.49,1721,1722.8
29/08/2022,1737.56,1745.32,1719.6,1737.3
26/08/2022,1757.9,1758.91,1733.9,1736.8
25/08/2022,1750.7,1765.41,1749.1,1757.8
24/08/2022,1747.1,1755.84,1742.2,1750.7
23/08/2022,1735.2,1753.93,1730.83,1747.1
22/08/2022,1746.4,1749.01,1727.3,1735
19/08/2022,1758.1,1759.39,1744.8,1746.96
18/08/2022,1760.7,1772.39,1755.3,1758.1
17/08/2022,1774.7,1782.14,1759.7,1760.6
16/08/2022,1778.9,1783.13,1771.3,1774.8
15/08/2022,1801.3,1802.39,1772.5,1778.7
12/08/2022,1788.9,1802.61,1784.7,1801.97
11/08/2022,1791.5,1799.24,1783.2,1788.7
10/08/2022,1793,1807.62,1787.1,1791.3
09/08/2022,1788.2,1800.25,1782.2,1793.2
08/08/2022,1774.1,1790,1770.6,1788
05/08/2022,1790.1,1794.76,1765.06,1774.1
04/08/2022,1764.5,1794.87,1762.4,1790.2
03/08/2022,1759.5,1772.61,1754.39,1764.3
02/08/2022,1771.2,1788,1759.3,1759.3
01/08/2022,1765.2,1774.78,1758.27,1771.2
29/07/2022,1754.7,1767.83,1752.4,1765.34
28/07/2022,1733,1756.99,1732.9,1754.8
27/07/2022,1716.3,1739.98,1711.58,1733.1
26/07/2022,1718.6,1728.09,1713.59,1716.4
25/07/2022,1726.4,1736.22,1714.5,1718.7
22/07/2022,1718.3,1738.91,1712.6,1726.4
21/07/2022,1695.7,1720.15,1681,1718.3
20/07/2022,1710.7,1714.28,1692.46,1695.7
19/07/2022,1708.4,1718.39,1704.8,1710.6
18/07/2022,1706.7,1723.61,1705.9,1708.2
15/07/2022,1708.8,1716.53,1698.5,1706.7
14/07/2022,1734.7,1736.27,1697.52,1708.8
13/07/2022,1725.1,1745.18,1707.25,1734.5
12/07/2022,1732.9,1744.19,1722.9,1725.1
11/07/2022,1741.8,1744.47,1731.1,1732.9
08/07/2022,1739,1751.85,1733.12,1741.8
07/07/2022,1737.7,1748.92,1736.4,1739
06/07/2022,1763.8,1772.78,1731.8,1737.7
05/07/2022,1807.5,1811.98,1763.6,1763.8
