DATE,OPEN,HIGH,LOW,CLOSE
09/11/2022,109.651,110.643,109.452,110.442
08/11/2022,110.055,110.610,109.366,109.611
07/11/2022,111.222,111.274,110.050,110.221
04/11/2022,112.974,112.993,110.715,110.788
03/11/2022,112.165,113.148,111.818,112.966
02/11/2022,111.535,112.149,110.426,112.116
01/11/2022,111.517,111.780,110.719,111.549
31/10/2022,110.781,111.665,110.721,111.579
28/10/2022,110.499,111.044,110.288,110.784
27/10/2022,109.619,110.617,109.535,110.561
26/10/2022,110.956,111.135,109.630,109.736
25/10/2022,111.817,112.127,110.759,111.005
24/10/2022,111.975,112.534,111.474,112.003
21/10/2022,112.939,113.942,111.547,111.975
20/10/2022,112.990,113.094,112.165,112.820
19/10/2022,111.911,113.095,111.911,112.886
18/10/2022,112.072,112.455,111.773,111.999
17/10/2022,113.192,113.206,111.922,112.067
14/10/2022,112.474,113.420,112.162,113.191
13/10/2022,113.236,113.920,112.147,112.455
12/10/2022,113.306,113.592,113.052,113.212
11/10/2022,113.080,113.500,112.410,113.275
10/10/2022,112.847,113.333,112.621,113.179
07/10/2022,112.249,112.882,111.948,112.846
06/10/2022,111.018,112.311,110.779,112.228
05/10/2022,110.225,111.735,110.092,111.207
04/10/2022,111.588,111.886,110.055,110.204
03/10/2022,112.086,112.543,111.470,111.663
30/09/2022,111.748,112.673,111.576,112.086
29/09/2022,113.014,113.789,111.766,111.766
28/09/2022,114.185,114.778,112.561,112.746
27/09/2022,114.020,114.472,113.356,114.108
26/09/2022,112.987,114.527,112.970,114.109
23/09/2022,111.239,113.244,111.078,112.987
22/09/2022,111.480,111.814,110.462,111.262
21/09/2022,110.162,111.578,110.132,111.317
20/09/2022,109.581,110.293,109.355,110.192
19/09/2022,109.659,110.175,109.489,109.591
16/09/2022,109.802,110.260,109.475,109.659
15/09/2022,109.607,109.921,109.420,109.748
14/09/2022,109.974,109.974,109.275,109.619
13/09/2022,108.228,110.012,107.680,110.012
12/09/2022,108.798,108.860,107.810,108.304
09/09/2022,109.575,109.575,108.360,108.797
08/09/2022,109.673,110.243,109.334,109.640
07/09/2022,110.317,110.786,109.526,109.531
06/09/2022,109.602,110.553,109.378,110.252
05/09/2022,109.890,110.271,109.717,109.788
02/09/2022,109.643,110.032,108.933,109.888
01/09/2022,108.836,109.977,108.767,109.633
31/08/2022,108.753,109.202,108.379,108.685
30/08/2022,108.696,109.111,108.286,108.822
29/08/2022,109.000,109.478,108.491,108.746
26/08/2022,108.466,109.003,107.588,109.000
25/08/2022,108.625,108.690,107.991,108.420
24/08/2022,108.518,109.112,108.363,108.605
23/08/2022,109.001,109.270,108.077,108.512
22/08/2022,108.119,109.097,108.080,108.956
19/08/2022,107.498,108.215,107.467,108.119
18/08/2022,106.675,107.560,106.505,107.493
17/08/2022,106.450,106.890,106.310,106.667
16/08/2022,106.480,106.943,106.318,106.478
15/08/2022,105.676,106.551,105.552,106.491
12/08/2022,105.157,105.882,105.087,105.676
11/08/2022,105.209,105.461,104.646,105.092
10/08/2022,106.341,106.403,104.636,105.196
09/08/2022,106.335,106.408,105.969,106.302
08/08/2022,106.653,106.804,106.093,106.378
05/08/2022,105.721,106.930,105.694,106.652
04/08/2022,106.476,106.511,105.668,105.755
03/08/2022,106.434,106.819,105.974,106.377
02/08/2022,105.364,106.352,105.049,106.344
01/08/2022,105.930,106.025,105.241,105.407
29/07/2022,106.208,106.661,105.542,105.930
28/07/2022,106.370,106.975,106.059,106.207
27/07/2022,107.130,107.426,106.264,106.464
26/07/2022,106.452,107.283,106.201,107.204
25/07/2022,106.586,106.883,106.187,106.482
22/07/2022,106.586,107.359,106.112,106.587
21/07/2022,107.085,107.323,106.415,106.605
20/07/2022,106.674,107.255,106.386,107.040
19/07/2022,107.494,107.627,106.404,106.683
18/07/2022,108.021,108.036,106.892,107.414
15/07/2022,108.669,108.712,107.912,108.020
14/07/2022,108.139,109.294,108.139,108.638
13/07/2022,108.185,108.583,107.477,108.021
12/07/2022,108.183,108.562,107.843,108.161
11/07/2022,106.983,108.268,106.980,108.211
08/07/2022,107.044,107.786,106.805,106.983
07/07/2022,107.066,107.235,106.714,107.037
06/07/2022,106.493,107.264,106.358,107.044
05/07/2022,105.135,106.792,105.051,106.490
04/07/2022,105.072,105.252,104.815,105.144
01/07/2022,104.775,105.635,104.742,105.070
30/06/2022,105.056,105.541,104.645,104.739
29/06/2022,104.463,105.149,104.356,105.098
28/06/2022,103.971,104.606,103.770,104.486
27/06/2022,104.066,104.212,103.673,103.944
24/06/2022,104.378,104.513,103.954,104.066
23/06/2022,104.212,104.769,104.060,104.404
22/06/2022,104.431,104.947,103.858,104.185
21/06/2022,104.442,104.536,103.938,104.426
20/06/2022,104.705,104.754,104.234,104.481
17/06/2022,103.881,105.085,103.833,104.704
16/06/2022,104.898,105.493,103.418,103.802
15/06/2022,105.348,105.788,104.660,104.850
14/06/2022,105.190,105.652,104.622,105.478
13/06/2022,104.298,105.285,104.273,105.202
10/06/2022,103.337,104.350,103.047,104.298
09/06/2022,102.562,103.367,102.152,103.307
08/06/2022,102.389,102.776,102.269,102.546
07/06/2022,102.491,102.839,102.260,102.332
06/06/2022,102.118,102.469,101.848,102.413
03/06/2022,101.750,102.225,101.644,102.118
02/06/2022,102.548,102.618,101.737,101.748
01/06/2022,101.761,102.731,101.738,102.543
31/05/2022,101.435,102.166,101.414,101.783
30/05/2022,101.674,101.724,101.297,101.367
27/05/2022,101.718,101.936,101.433,101.675
26/05/2022,102.020,102.266,101.738,101.758
25/05/2022,101.772,102.449,101.728,102.075
24/05/2022,102.108,102.316,101.646,101.769
23/05/2022,102.941,102.957,102.040,102.093
20/05/2022,102.903,103.261,102.771,102.939
19/05/2022,103.832,103.877,102.657,102.869
18/05/2022,103.337,103.931,103.194,103.903
17/05/2022,104.166,104.230,103.226,103.300
16/05/2022,104.573,104.643,104.138,104.189
13/05/2022,104.769,105.005,104.457,104.573
12/05/2022,104.008,104.925,103.877,104.750
11/05/2022,103.904,104.105,103.372,104.004
10/05/2022,103.727,103.978,103.499,103.920
09/05/2022,103.732,104.187,103.392,103.756
