DATE,OPEN,HIGH,LOW,CLOSE
28/06/2022,11542.2,11635.85,11177.68,11181.54
27/06/2022,11661,11677.49,11487.07,11524.55
24/06/2022,11351.3,11613.23,11337.78,11607.62
23/06/2022,11137.7,11260.27,11046.29,11232.19
22/06/2022,10942,11216.77,10938.06,11053.08
21/06/2022,10974.1,11164.99,10974.05,11069.3
17/06/2022,10697.6,10884.71,10638.72,10798.35
16/06/2022,10806,10831.07,10565.13,10646.1
15/06/2022,10968.4,11244.26,10866.39,11099.15
14/06/2022,10897.4,10926.81,10733.04,10828.35
13/06/2022,10986.85,11071.48,10775.14,10809.23
10/06/2022,11543.9,11569.15,11328.27,11340.02
09/06/2022,12016.5,12115.06,11751.98,11754.23
08/06/2022,12147.3,12235.78,12052.7,12086.27
07/06/2022,11925.8,12194.86,11888.62,12175.23
06/06/2022,12200.3,12245.4,12004.2,12061.37
03/06/2022,12097.1,12167.44,11966.62,12012.73
02/06/2022,11945.6,12320.12,11901.45,12316.9
01/06/2022,12176.9,12237.94,11901.43,11994.46
31/05/2022,12137.5,12190.08,11942.5,12081.39
27/05/2022,11869.7,12131.66,11856.82,12131.13
26/05/2022,11409.8,11796.97,11406.16,11740.65
25/05/2022,11225,11511.9,11211.85,11434.74
24/05/2022,11326.44,11351.61,11092.48,11264.45
23/05/2022,11396.3,11552.07,11304.56,11535.27
20/05/2022,11542.7,11552.21,11035.69,11354.62
19/05/2022,11364.4,11562.82,11313.31,11388.5
18/05/2022,11790.7,11826.22,11381.69,11418.15
17/05/2022,11905.6,11988.43,11754.28,11984.52
16/05/2022,11727.1,11804.59,11627.53,11662.79
13/05/2022,11556,11856.71,11510.26,11805
12/05/2022,11199.3,11547.33,11108.76,11370.96
11/05/2022,11645.6,11844.51,11339.18,11364.24
10/05/2022,11900.3,11944.94,11566.28,11737.67
09/05/2022,11923,11990.61,11574.94,11623.25
06/05/2022,12246.8,12358.42,11990.15,12144.66
05/05/2022,12787.5,12787.52,12183.56,12317.69
04/05/2022,12574.7,12985.01,12367.02,12964.86
03/05/2022,12511.5,12645.83,12460.99,12563.76
02/05/2022,12331.7,12542.54,12202.41,12536.02
29/04/2022,12710.4,12861.83,12315.74,12334.64
28/04/2022,12712.9,12948.52,12487.86,12871.53
27/04/2022,12500.9,12703.79,12430.9,12488.93
26/04/2022,12918,12918.04,12490.74,12490.74
25/04/2022,12749.2,13011.45,12722.59,13004.85
22/04/2022,13168.8,13212.6,12828.02,12839.29
21/04/2022,13623.7,13710.7,13140.83,13174.65
20/04/2022,13665.38,13678.55,13426.13,13453.07
19/04/2022,13312.4,13643.97,13281.22,13619.66
18/04/2022,13319.4,13414.27,13222.03,13332.36
14/04/2022,13647.4,13662.93,13345.22,13351.08
13/04/2022,13373.1,13679.43,13353.66,13643.59
12/04/2022,13584.7,13685.95,13317.74,13371.57
11/04/2022,13547.3,13585.08,13401.39,13411.96
08/04/2022,13830.5,13866.06,13693.69,13711
07/04/2022,13861.5,13978.25,13689.23,13897.3
06/04/2022,14002.6,14032.84,13788.9,13888.82
05/04/2022,14490.3,14500.29,14169.12,14204.17
04/04/2022,14304.4,14534.38,14286.45,14532.55
01/04/2022,14269.5,14306.94,14131.81,14261.5
31/03/2022,14444.78,14456.74,14217.72,14220.52
