DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
25/11/2021,N/A,N/A,N/A,N/A,N/A
24/11/2021,35752.31,35825.47,35591.03,35804.38,287941
23/11/2021,35619.92,35841.52,35542.87,35813.8,392524
22/11/2021,35631.41,35929.66,35615.55,35619.25,420805
19/11/2021,35879.09,35879.09,35555.37,35601.98,414653
18/11/2021,35901.69,35952.63,35654.39,35870.95,435080
17/11/2021,36159.7,36159.7,35909.48,35931.05,358310
16/11/2021,36076.18,36316.61,36076.18,36142.22,311904
15/11/2021,36128.83,36236.07,36031.78,36087.45,280655
12/11/2021,35963.78,36147.63,35934.59,36100.31,293177
11/11/2021,36038.78,36108.17,35915.27,35921.23,270315
10/11/2021,36299.25,36346.61,36009.5,36079.94,283523
09/11/2021,36404.53,36416.98,36173.07,36319.98,258023
08/11/2021,36416.46,36565.73,36334.42,36432.22,288396
05/11/2021,36268.75,36484.75,36190.2,36327.95,344602
04/11/2021,36107.46,36168.03,35986.48,36124.23,309994
03/11/2021,36059.09,36178.51,35891.73,36157.58,262540
02/11/2021,35935.11,36088.81,35884.13,36052.63,304514
01/11/2021,35833.65,36009.74,35797.97,35913.84,295482
29/10/2021,35712.28,35852.53,35633.2,35819.56,407989
28/10/2021,35545.41,35742.25,35545.41,35730.48,348425
27/10/2021,35835.43,35835.43,35490.43,35490.69,358083
26/10/2021,35791.05,35892.92,35734.73,35756.88,321910
25/10/2021,35692.62,35787.04,35629.37,35741.15,270410
22/10/2021,35607.72,35765.02,35533.95,35677.02,349082
21/10/2021,35520.32,35612.36,35442.53,35603.08,302122
20/10/2021,35475.16,35669.69,35465.71,35609.34,267325
19/10/2021,35325.37,35462.68,35290.12,35457.31,281263
18/10/2021,35221.02,35327.57,35035.94,35258.61,323088
15/10/2021,35023.63,35320.97,35023.63,35294.76,327866
14/10/2021,34443.22,34923.83,34443.22,34912.56,338537
13/10/2021,34372.71,34449.83,34115.1,34377.81,319453
12/10/2021,34507.15,34611.24,34318.94,34378.34,322026
11/10/2021,34723.79,34951.35,34486.51,34496.06,256823
08/10/2021,34757.57,34842.62,34661.95,34746.25,238081
07/10/2021,34509.72,34975.19,34509.72,34754.94,277046
06/10/2021,34198.96,34432.68,33854.69,34416.99,323370
05/10/2021,34035.25,34490.95,34035.25,34314.67,312426
04/10/2021,34312.96,34410.28,33821.58,34002.92,400191
01/10/2021,33930.7,34490.56,33785.54,34326.46,429164
30/09/2021,34467.98,34557.37,33833.32,33843.92,356201
29/09/2021,34360.08,34580.42,34305.96,34390.72,291042
28/09/2021,34747.7,34798.21,34254.65,34299.99,380220
27/09/2021,34739.27,35061.12,34739.27,34869.37,292804
24/09/2021,34762.31,34857.06,34648.08,34798,256578
23/09/2021,34296.3,34879.78,34296.3,34764.82,285870
22/09/2021,34006.87,34440.42,34006.87,34258.32,300082
21/09/2021,34025.61,34313.88,33914.02,33919.84,307984
20/09/2021,34459.72,34459.72,33613.03,33970.47,441645
17/09/2021,34737.86,34779.86,34519.63,34584.88,577966
16/09/2021,34810.27,34943.55,34540.11,34751.32,279309
15/09/2021,34580.95,34880.77,34522.03,34814.39,324976
14/09/2021,34906.9,34990.36,34510.3,34577.57,329178
13/09/2021,34665.5,34939.1,34665.5,34869.63,334185
10/09/2021,34949.59,35104.25,34599.61,34607.72,333225
09/09/2021,35013.08,35199.89,34847.3,34879.38,262381
